Age,Min,Gls,Ast,npxG,xAG,Sh,SoT,Cmp,Att,KP,PPA,CrsPA,PrgP,Touches,PrgC,Succ,Dis,Rec,Tkl,Int,Blocks,Clr,Recov,Won,CrdY,CrdR,Fls,Fld,Off,Crs,value,days_missed,games_missed,height,Club_Rank,Country_Rank,Pos_FW,Pos_MF,foot_left,foot_right
27.0,3026.0,3.0,7.0,2.5,7.0,40.0,12.0,1694.0,2061.0,60.0,38.0,4.0,235.0,2385.0,39.0,31.0,29.0,1667.0,84.0,23.0,37.0,47.0,145.0,22.0,4.0,0.0,41.0,2.0,7.0,119.0,38000000.0,86.0,14.0,177.0,77,8,False,True,False,True
32.0,3025.0,0.0,4.0,1.4,4.2,25.0,5.0,1341.0,1728.0,36.0,40.0,22.0,128.0,2083.0,143.0,52.0,26.0,1311.0,44.0,34.0,45.0,58.0,183.0,12.0,8.0,0.0,24.0,8.0,3.0,142.0,300000.0,0.0,0.0,178.0,94,5,False,False,True,False
26.0,3012.0,0.0,1.0,1.5,0.9,15.0,4.0,1826.0,2114.0,10.0,11.0,3.0,153.0,2419.0,27.0,1.0,8.0,1625.0,54.0,30.0,12.0,111.0,135.0,93.0,1.0,0.0,28.0,0.0,4.0,8.0,28000000.0,21.0,4.0,188.0,9,7,False,False,False,True
28.0,2995.0,2.0,1.0,0.6,1.4,11.0,2.0,994.0,1352.0,16.0,23.0,11.0,107.0,1708.0,67.0,33.0,22.0,822.0,55.0,33.0,46.0,115.0,190.0,13.0,5.0,0.0,23.0,3.0,2.0,59.0,22000000.0,58.0,10.0,184.0,40,4,False,False,False,True
23.0,2989.0,4.0,0.0,3.1,2.1,34.0,13.0,1050.0,1233.0,20.0,24.0,3.0,140.0,1467.0,69.0,15.0,23.0,1042.0,28.0,26.0,14.0,36.0,127.0,29.0,6.0,0.0,19.0,3.0,2.0,15.0,5000000.0,17.0,3.0,188.0,85,20,False,True,False,True
26.0,2988.0,5.0,1.0,2.8,2.1,24.0,11.0,1680.0,1916.0,19.0,12.0,3.0,118.0,2244.0,35.0,4.0,7.0,1385.0,67.0,28.0,23.0,95.0,130.0,32.0,10.0,1.0,37.0,1.0,7.0,31.0,35000000.0,78.0,17.0,173.0,8,3,False,False,True,False
23.0,6514.0,4.0,0.0,3.2,1.8,28.0,6.0,2788.0,3184.0,8.0,12.0,0.0,236.0,3876.0,34.0,20.0,20.0,2446.0,148.0,90.0,18.0,288.0,264.0,64.0,10.0,0.0,92.0,0.0,4.0,4.0,20000000.0,0.0,0.0,184.0,131,2,False,False,False,True
28.0,2981.0,9.0,6.0,4.7,7.0,68.0,29.0,1150.0,1532.0,59.0,86.0,19.0,213.0,1861.0,144.0,48.0,40.0,1447.0,44.0,14.0,52.0,29.0,140.0,7.0,1.0,0.0,19.0,2.0,6.0,126.0,28000000.0,27.0,5.0,183.0,416,4,False,True,False,True
25.0,2981.0,0.0,3.0,1.1,1.7,10.0,4.0,1538.0,1800.0,16.0,11.0,5.0,80.0,2124.0,25.0,9.0,3.0,1404.0,42.0,27.0,14.0,154.0,95.0,48.0,7.0,0.0,24.0,0.0,15.0,9.0,12000000.0,0.0,0.0,187.0,94,9,False,False,True,False
27.0,2978.0,1.0,3.0,0.9,4.1,14.0,4.0,1224.0,1585.0,48.0,26.0,11.0,158.0,1900.0,33.0,13.0,18.0,965.0,81.0,41.0,26.0,70.0,187.0,41.0,8.0,1.0,49.0,0.0,2.0,132.0,15000000.0,4.0,1.0,175.0,267,4,False,True,False,True
